institute_code,institute_name,university,status_type
05161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Maharashtra State,Approved Institute
05162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Maharashtra State,Approved Institute
05164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Maharashtra State,Approved Institute
05168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Maharashtra State,Approved Institute
05169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Maharashtra State,Approved Institute
05170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Maharashtra State,Approved Institute
05171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Maharashtra State,Approved Institute
05172,"R. C. Patel Institute of Technology, Shirpur",Maharashtra State,Approved Institute
05173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Maharashtra State,Approved Institute
05177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Maharashtra State,Approved Institute
05179,"Vishwabharati Academy's College of Engineering, Ahmednagar",Maharashtra State,Approved Institute
05181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Maharashtra State,Approved Institute
